
===== WIRE DUMP: 43 frames seen, ring holds 120 =====
   first    last   xN dir  id  data
   22295   22295    1  RX 3CF  61 11 01 A3 A3 A3 A3 A3
   22295   22295    1  TX 3AF  BA 00 00 00 00 00 00 00
   22399   22399    1  RX 3CF  61 11 01 A3 A3 A3 A3 A3
   22431   22431    1  TX 3AF  B0 14 11 00 1F 00 00 00
   22433   22433    1  RX 1C1  70 A3 A3 A3 A3 A3 A3 A3
   22433   22433    1  TX 5C1  74 00 00 00 00 00 00 00
   22463   22495    2  TX 3AF  B0 14 11 00 1F 00 00 00
   22496   22496    1  TX 151  70 00 00 00 00 00 00 00
   22497   22497    1  RX 551  74 A3 A3 A3 A3 A3 A3 A3
   22497   22497    1  TX 1F1  70 00 00 00 00 00 00 00
   22499   22499    1  RX 5F1  74 A3 A3 A3 A3 A3 A3 A3
   22899   22899    1  TX 151  10 60 21 05 FF 00 00 40
   22901   22901    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22901   22901    1  TX 151  21 00 00 00 00 00 00 00
   22903   22903    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22903   22903    1  TX 151  22 00 00 00 00 00 00 00
   22905   22905    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22905   22905    1  TX 151  23 00 00 00 00 00 00 00
   22907   22907    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22907   22907    1  TX 151  24 00 00 00 00 00 20 20
   22909   22909    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22909   22909    1  TX 151  25 41 46 46 41 20 44 49
   22911   22911    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22911   22911    1  TX 151  26 53 50 4C 41 59 20 2D
   22913   22913    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22913   22913    1  TX 151  27 20 52 4F 57 20 4F 0D
   22915   22915    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22915   22915    1  TX 151  28 53 45 43 4F 4E 44 20
   22917   22917    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22917   22917    1  TX 151  29 52 4F 57 20 4D 4F 56
   22919   22919    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22919   22919    1  TX 151  2A 45 53 20 53 4C 4F 0D
   22921   22921    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22921   22921    1  TX 151  2B 54 48 49 52 44 20 52
   22923   22923    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22923   22923    1  TX 151  2C 4F 57 20 53 4C 4F 57
   22925   22925    1  RX 551  30 01 00 A3 A3 A3 A3 A3
   22925   22925    1  TX 151  2D 45 53 54 20 4F 0D 00
   22927   22927    1  RX 551  74 A3 A3 A3 A3 A3 A3 A3
   74819  134819    3  TX 3AF  BA 00 00 00 00 00 00 00
===== END WIRE DUMP =====

