[40683] sync 0x08 reg 1 | screens ok 1 fail 0 | drv s=1 txErr 0 rxErr 0 busErr 0 qTx 0

===== WIRE DUMP: 213 frames seen, ring holds 120 =====
   first    last   xN dir  id  data
   15705   15705    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   16055   16055    1  TX 3AF  B9 00 00 00 00 00 00 00
   16209   16209    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   16555   16555    1  TX 3AF  B9 00 00 00 00 00 00 00
   16713   16713    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   17055   17055    1  TX 3AF  B9 00 00 00 00 00 00 00
   17217   17217    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   17555   17555    1  TX 3AF  B9 00 00 00 00 00 00 00
   17719   17719    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   18055   18055    1  TX 3AF  B9 00 00 00 00 00 00 00
   18223   18223    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   18555   18555    1  TX 3AF  B9 00 00 00 00 00 00 00
   18727   18727    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   19055   19055    1  TX 3AF  B9 00 00 00 00 00 00 00
   19231   19231    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   19555   19555    1  TX 3AF  B9 00 00 00 00 00 00 00
   19735   19735    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   20055   20055    1  TX 3AF  B9 00 00 00 00 00 00 00
   20239   20239    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   20555   20555    1  TX 3AF  B9 00 00 00 00 00 00 00
   20743   20743    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   21055   21055    1  TX 3AF  B9 00 00 00 00 00 00 00
   21247   21247    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   21555   21555    1  TX 3AF  B9 00 00 00 00 00 00 00
   21751   21751    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   22055   22055    1  TX 3AF  B9 00 00 00 00 00 00 00
   22255   22255    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   22555   22555    1  TX 3AF  B9 00 00 00 00 00 00 00
   22759   22759    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   23055   23055    1  TX 3AF  B9 00 00 00 00 00 00 00
   23263   23263    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   23555   23555    1  TX 3AF  B9 00 00 00 00 00 00 00
   23767   23767    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   24055   24055    1  TX 3AF  B9 00 00 00 00 00 00 00
   24271   24271    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   24555   24555    1  TX 3AF  B9 00 00 00 00 00 00 00
   24775   24775    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   25055   25055    1  TX 3AF  B9 00 00 00 00 00 00 00
   25279   25279    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   25555   25555    1  TX 3AF  B9 00 00 00 00 00 00 00
   25783   25783    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   26055   26055    1  TX 3AF  B9 00 00 00 00 00 00 00
   26287   26287    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   26555   26555    1  TX 3AF  B9 00 00 00 00 00 00 00
   26791   26791    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   27055   27055    1  TX 3AF  B9 00 00 00 00 00 00 00
   27295   27295    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   27555   27555    1  TX 3AF  B9 00 00 00 00 00 00 00
   27799   27799    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   28055   28055    1  TX 3AF  B9 00 00 00 00 00 00 00
   28303   28303    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   28555   28555    1  TX 3AF  B9 00 00 00 00 00 00 00
   28807   28807    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   29055   29055    1  TX 3AF  B9 00 00 00 00 00 00 00
   29311   29311    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   29555   29555    1  TX 3AF  B9 00 00 00 00 00 00 00
   29815   29815    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   30055   30055    1  TX 3AF  B9 00 00 00 00 00 00 00
   30319   30319    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   30555   30555    1  TX 3AF  B9 00 00 00 00 00 00 00
   30823   30823    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   31055   31055    1  TX 3AF  B9 00 00 00 00 00 00 00
   31327   31327    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
   31555   31555    1  TX 3AF  B9 00 00 00 00 00 00 00
   31831   31831    1  RX 3CF  69 00 A3 A3 A3 A3 A3 A3
