Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
145849800,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
145953703,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
146057633,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
146161645,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
146241575,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
146265551,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
146369650,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
146473561,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
146577498,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
146681638,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
146745644,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
146785612,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
146889450,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
146993680,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
147097531,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
147201554,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
147249599,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
147305418,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
147328246,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
147328538,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
147409570,000003CF,false,Rx,0,8,61,11,01,A3,A3,A3,A3,A3,
147440321,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
147441874,000001C1,false,Rx,0,8,70,A3,A3,A3,A3,A3,A3,A3,
147442327,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
147471270,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
147502263,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
147502565,00000151,false,Rx,0,8,70,00,00,00,00,00,00,00,
147502850,000001F1,false,Rx,0,8,70,00,00,00,00,00,00,00,
147503323,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
147503795,000005F1,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
147754043,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
147827463,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
147903552,00000151,false,Rx,0,8,03,52,00,00,00,00,00,00,
147904171,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
147911995,000001C1,false,Rx,0,8,02,64,0F,A3,A3,A3,A3,A3,
147912015,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
147988136,00000151,false,Rx,0,8,02,54,01,00,00,00,00,00,
147988617,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
147992664,00000151,false,Rx,0,8,02,54,03,00,00,00,00,00,
147992685,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
147993679,000001C1,false,Rx,0,8,05,63,30,30,34,33,A3,A3,
147993932,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
148257504,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
148327596,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
148761314,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
148827850,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
149265475,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
149327870,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
149769337,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
149828031,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
150273469,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
150328272,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
150777309,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
150828317,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
151281267,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
151328301,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
151785347,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
151828505,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
152289136,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
152328723,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
152793227,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
152828719,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
153296916,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
153328963,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
153801028,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
153829023,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
154304845,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
154329290,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
154808959,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
154824536,00000151,false,Rx,0,8,04,25,00,00,00,00,00,00,
154828043,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
154829242,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
155312851,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
155329850,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
155816880,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
155832243,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
156320910,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
156329728,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
156824672,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
