Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
62775591,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
442277,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
525718,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
944931,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1025899,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1448966,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1526051,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1952870,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2026117,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2456781,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2526248,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2960814,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3026387,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4026994,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
84945066,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
84945173,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
84976700,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
84977506,000001C1,false,Rx,0,8,70,A3,A3,A3,A3,A3,A3,A3,
84977989,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
85007622,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
85038829,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
85038843,00000151,false,Rx,0,8,70,00,00,00,00,00,00,00,
85039140,000001F1,false,Rx,0,8,70,00,00,00,00,00,00,00,
85039803,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
85040450,000005F1,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
85055726,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
85113083,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
85440011,00000151,false,Rx,0,8,03,52,00,00,00,00,00,00,
85441227,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
85446512,000001C1,false,Rx,0,8,02,64,0F,A3,A3,A3,A3,A3,
85446529,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
85469395,00000151,false,Rx,0,8,02,54,01,00,00,00,00,00,
85470248,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
85472327,00000151,false,Rx,0,8,02,54,03,00,00,00,00,00,
85473120,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
85473788,000001C1,false,Rx,0,8,05,63,30,30,33,38,A3,A3,
85474049,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
85555912,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
85616943,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
86056062,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
86120921,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
86556090,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
86624968,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
87056318,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
87128765,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
87556467,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
87632835,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
88056680,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
88136726,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
88556762,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
88640804,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
89056750,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
89144744,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
89556961,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
89648494,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
90057034,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
90152624,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
90557315,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
90656703,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
91057252,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
91160515,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
91557486,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
91664487,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
92057561,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
92168363,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
92557783,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
92672403,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
93057943,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
93176264,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
93558014,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
93680355,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
94058207,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
94184244,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
94558290,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
94688272,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
95058334,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
95192173,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
95558613,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
95696152,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
96058618,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
96200173,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
96558754,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
96704226,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
97058877,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
97208417,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
97559014,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
97711860,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
98059125,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
98215814,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
98559363,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
98719718,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
