Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4685844,000003AF,false,Rx,0,8,B9,01,00,00,00,00,00,00,
4694018,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
4701260,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
4732000,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
4732831,000001C1,false,Rx,0,8,70,A3,A3,A3,A3,A3,A3,A3,
4733301,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
4763018,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
4794010,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
4794106,00000151,false,Rx,0,8,70,00,00,00,00,00,00,00,
4794393,000001F1,false,Rx,0,8,70,00,00,00,00,00,00,00,
4794874,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
4795343,000005F1,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5005325,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5184118,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5195152,00000151,false,Rx,0,8,03,52,09,00,00,00,00,00,
5195804,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5201370,000001C1,false,Rx,0,8,02,64,0F,A3,A3,A3,A3,A3,
5201850,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
5209402,00000151,false,Rx,0,8,02,54,01,00,00,00,00,00,
5209925,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5211644,00000151,false,Rx,0,8,02,54,03,00,00,00,00,00,
5212393,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5213563,000001C1,false,Rx,0,8,05,63,30,30,34,30,A3,A3,
5213890,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
5220163,00000151,false,Rx,0,8,10,0E,77,09,55,FF,31,01,
5221188,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5229663,000001F1,false,Rx,0,8,11,2E,21,0B,00,25,41,42,
5229736,00000151,false,Rx,0,8,21,20,20,20,31,30,35,36,
5230160,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5230892,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5231227,000001F1,false,Rx,0,8,21,43,44,45,46,00,01,30,
5232070,00000151,false,Rx,0,8,22,20,00,00,00,00,00,00,
5232081,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5232653,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5232979,000001F1,false,Rx,0,8,22,30,00,00,00,00,00,00,
5233927,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5234816,000001F1,false,Rx,0,8,23,00,00,00,00,00,00,00,
5236995,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5237939,000001F1,false,Rx,0,8,24,00,00,00,00,00,00,38,
5238610,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5239060,000001F1,false,Rx,0,8,25,00,00,00,00,00,66,00,
5239706,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5240889,000001F1,false,Rx,0,8,26,00,00,00,00,43,00,00,
5251500,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5251966,000001F1,false,Rx,0,8,27,00,00,00,41,80,00,00,
5252845,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5253901,000001F1,false,Rx,0,8,28,00,00,40,C0,00,00,00,
5254618,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5255067,000001F1,false,Rx,0,8,29,00,60,60,00,00,00,00,
5259540,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5260926,000001F1,false,Rx,0,8,2A,60,2F,C0,00,00,00,20,
5263010,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5263805,000001F1,false,Rx,0,8,2B,E6,38,00,00,00,23,57,
5264645,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5265795,000001F1,false,Rx,0,8,2C,06,00,00,00,36,53,C1,
5269455,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5269472,000001F1,false,Rx,0,8,2D,00,00,00,18,19,E0,80,
5269478,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5270117,000001F1,false,Rx,0,8,2E,00,00,10,3C,E7,DF,E0,
5270593,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5271967,000001F1,false,Rx,0,8,2F,00,20,3E,FC,30,38,00,
5273873,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5274880,000001F1,false,Rx,0,8,20,20,3E,40,E0,08,00,43,
5277690,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5278857,000001F1,false,Rx,0,8,21,FE,1F,10,08,00,43,F0,
5279707,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5280884,000001F1,false,Rx,0,8,22,BE,10,18,00,83,87,9E,
5283333,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5283981,000001F1,false,Rx,0,8,23,08,30,00,8E,1F,CE,08,
5284632,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5285787,000001F1,false,Rx,0,8,24,60,00,B1,FF,EC,09,C0,
5289191,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5289209,000001F1,false,Rx,0,8,25,00,C3,FF,E4,0F,00,00,
5289612,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5289901,000001F1,false,Rx,0,8,26,1F,FF,F4,0E,00,03,E7,
5290785,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5291970,000001F1,false,Rx,0,8,27,FF,F2,08,00,06,F6,7F,
5293524,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5294002,000001F1,false,Rx,0,8,28,F9,28,00,1C,F8,1F,FD,
5294636,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5295804,000001F1,false,Rx,0,8,29,E8,00,30,F8,1F,FC,E8,
5296662,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5296910,000001F1,false,Rx,0,8,2A,00,60,F0,07,FE,C8,00,
5297763,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5298951,000001F1,false,Rx,0,8,2B,C0,F8,01,FE,D0,00,80,
5299596,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5300063,000001F1,false,Rx,0,8,2C,78,02,7E,70,00,80,7C,
5300706,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5301891,000001F1,false,Rx,0,8,2D,00,1F,60,00,E0,7E,00,
5303650,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5304921,000001F1,false,Rx,0,8,2E,3F,20,00,3F,DF,80,7F,
5305567,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5306030,000001F1,false,Rx,0,8,2F,80,00,00,0F,C0,FF,C0,
5309610,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5309989,000001F1,false,Rx,0,8,20,00,00,07,C0,FF,60,00,
5310636,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5311085,000001F1,false,Rx,0,8,21,00,03,C3,FE,20,00,00,
5311732,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5312914,000001F1,false,Rx,0,8,22,00,EF,F8,20,00,00,00,
5314638,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5314885,000001F1,false,Rx,0,8,23,3F,E0,30,00,00,00,00,
5315724,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5316903,000001F1,false,Rx,0,8,24,30,30,00,00,00,00,18,
5319425,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5319888,000001F1,false,Rx,0,8,25,10,00,00,00,00,0C,10,
5320723,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5321910,000001F1,false,Rx,0,8,26,00,00,00,00,06,10,00,
5324197,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5325006,000001F1,false,Rx,0,8,27,00,00,00,03,30,00,00,
5325644,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5326095,000001F1,false,Rx,0,8,28,00,00,00,E0,00,00,00,
5326743,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5329409,000001F1,false,Rx,0,8,29,00,00,00,00,00,00,00,
5329978,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5331020,000001F1,false,Rx,0,8,2A,00,00,00,00,00,00,00,
5331498,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5332004,000001F1,false,Rx,0,8,2B,00,00,00,00,00,00,00,
5334597,000005F1,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5525319,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5684166,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6029069,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6184309,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6541287,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6684383,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7045154,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7184681,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7557121,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7684857,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8068954,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8184798,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8572954,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8685113,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9085223,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9185240,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9588785,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9685268,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10093091,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10185509,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10598491,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10685648,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11102496,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11185729,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11604811,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11685879,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12109464,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12186036,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12614464,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12686195,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13124498,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13186209,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13630559,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13686345,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14140542,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14186475,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14652464,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14686693,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15156363,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15186826,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15666975,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15686881,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16178163,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16187129,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16676311,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16687269,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17187352,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17188189,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
17687477,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17700300,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
18187567,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
18204147,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
18687783,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
18716107,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
