Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
307381,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
463288,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
811258,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
963443,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1315246,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1463684,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1819210,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1963764,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2323153,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2463808,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2827214,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2964117,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3331177,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3464156,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3835072,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3964318,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4338974,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4464432,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4843146,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4964672,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5346889,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5464755,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5549327,00000151,false,Rx,0,8,10,0B,76,60,41,41,55,58,
5550020,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5550452,00000151,false,Rx,0,8,21,20,20,4F,46,46,00,00,
5551299,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5552309,00000151,false,Rx,0,8,10,0B,76,60,44,41,46,20,
5555230,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5555715,00000151,false,Rx,0,8,21,20,20,4F,4E,20,00,00,
5556356,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5557955,00000151,false,Rx,0,8,10,0B,76,60,48,53,50,45,
5558599,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5559610,00000151,false,Rx,0,8,21,45,44,20,30,20,00,00,
5561489,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5866895,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5964799,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6370843,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6411550,00000151,false,Rx,0,8,10,0B,76,60,41,41,55,58,
6412213,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
6412849,00000151,false,Rx,0,8,21,20,20,41,55,54,00,00,
6413497,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
6414471,00000151,false,Rx,0,8,10,0B,76,60,44,41,46,20,
6415316,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
6415788,00000151,false,Rx,0,8,21,20,20,4F,4E,20,00,00,
6417688,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
6419414,00000151,false,Rx,0,8,10,0B,76,60,48,53,50,45,
6420219,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
6420748,00000151,false,Rx,0,8,21,45,44,20,30,20,00,00,
6423148,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
6464970,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6549630,00000151,false,Rx,0,8,10,0B,76,60,41,41,55,58,
6550825,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
6551851,00000151,false,Rx,0,8,21,20,20,4F,4E,20,00,00,
6552668,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
6555077,00000151,false,Rx,0,8,10,0B,76,60,44,41,46,20,
6556654,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
6557839,00000151,false,Rx,0,8,21,20,20,4F,4E,20,00,00,
6558852,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
6559678,00000151,false,Rx,0,8,10,0B,76,60,48,53,50,45,
