Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11718888,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11883259,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12218903,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12387143,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12718953,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12891051,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13219243,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13394894,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13719265,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13898914,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14219371,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14402945,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14719639,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14906892,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15147850,00000151,false,Rx,0,8,10,6F,21,05,00,00,01,49,
15148515,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15149530,00000151,false,Rx,0,8,21,00,00,00,00,00,00,00,
15150174,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15150633,00000151,false,Rx,0,8,22,00,00,00,00,00,00,00,
15151275,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15152468,00000151,false,Rx,0,8,23,00,00,00,00,00,00,00,
15153119,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15153583,00000151,false,Rx,0,8,24,00,00,00,00,00,4F,4B,
15154225,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15155590,00000151,false,Rx,0,8,25,00,00,00,00,20,20,20,
15156232,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15156495,00000151,false,Rx,0,8,26,20,20,4F,63,63,75,70,
15157337,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15158542,00000151,false,Rx,0,8,27,69,65,64,3A,20,33,0D,
15159179,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15161619,00000151,false,Rx,0,8,28,20,20,20,20,20,20,41,
15161640,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15161646,00000151,false,Rx,0,8,29,76,61,69,6C,2E,3A,20,
15162160,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15162636,00000151,false,Rx,0,8,2A,34,37,0D,20,20,20,20,
15163274,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15164454,00000151,false,Rx,0,8,2B,20,20,20,20,20,20,20,
15165095,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15165586,00000151,false,Rx,0,8,2C,0D,00,00,00,00,00,00,
15166227,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15167593,00000151,false,Rx,0,8,2D,00,00,00,00,00,00,00,
15168225,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15168482,00000151,false,Rx,0,8,2E,00,00,00,00,00,00,00,
15169331,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15170524,00000151,false,Rx,0,8,2F,00,00,00,00,00,00,00,
15171138,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
15219770,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15426823,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15719808,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15930778,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16219988,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16434820,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16720161,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16938716,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
17220346,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17442721,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
17720528,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17946462,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
18220571,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
18450583,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
18720740,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
18954538,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
19220889,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
19458351,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
19720995,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
19962453,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
20221246,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
20466297,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
20721404,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
20970349,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
21221469,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
21474340,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
21721585,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
21978349,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
22221763,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
22482262,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
22721922,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
22986140,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
23222001,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
23490177,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
23722213,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
23993983,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
24222221,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
24498050,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
24722421,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
25002024,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
25222581,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
25507382,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
25722634,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
26009923,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
26222821,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
26513798,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
26722959,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
27017807,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
27223071,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
27521898,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
27723326,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
28025743,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
28223427,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
28529788,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
28723609,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
29033678,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
29223655,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
29537576,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
29723838,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
30041618,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
30223888,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
30545548,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
30724137,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
