Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
39648792,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
39726609,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
553701,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
627666,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1057790,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1127840,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1249434,00000151,false,Rx,0,8,10,75,21,05,01,00,02,49,
1250084,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1250731,00000151,false,Rx,0,8,21,00,00,00,00,00,00,00,
1251372,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1252733,00000151,false,Rx,0,8,22,00,00,00,00,00,00,00,
1253734,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1254751,00000151,false,Rx,0,8,23,00,00,00,00,00,00,00,
1255387,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1256545,00000151,false,Rx,0,8,24,00,00,00,00,00,59,65,
1257569,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1258800,00000151,false,Rx,0,8,25,73,00,00,00,4E,6F,00,
1259299,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1259860,00000151,false,Rx,0,8,26,00,00,00,20,20,20,20,
1263225,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1263317,00000151,false,Rx,0,8,27,20,20,20,20,44,65,6C,
1263330,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1263337,00000151,false,Rx,0,8,28,65,74,65,0D,20,64,65,
1263343,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1264694,00000151,false,Rx,0,8,29,73,74,69,6E,61,74,69,
1265618,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1266641,00000151,false,Rx,0,8,2A,6F,6E,20,6D,65,6D,6F,
1267278,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1267760,00000151,false,Rx,0,8,2B,72,79,3F,0D,20,20,20,
1268397,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1269755,00000151,false,Rx,0,8,2C,20,20,20,20,20,20,20,
1270382,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1270855,00000151,false,Rx,0,8,2D,20,0D,00,00,00,00,00,
1271503,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1272683,00000151,false,Rx,0,8,2E,00,00,00,00,00,00,00,
1273673,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1274679,00000151,false,Rx,0,8,2F,00,00,00,00,00,00,00,
1275292,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1276682,00000151,false,Rx,0,8,20,00,00,00,00,00,00,00,
1277691,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
1569611,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1628004,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2073609,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2128132,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2577395,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2628296,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3081443,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3128475,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3585361,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3628634,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4089252,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4128742,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4593291,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4628784,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5097159,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5128996,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5601353,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5629025,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6105176,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6129221,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6609148,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6629383,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7113141,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7129491,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7616931,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7629567,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8121013,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8129822,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8624949,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8629902,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9128961,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9130001,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9630590,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9632867,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10130364,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10136800,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10630497,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10640792,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11130646,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11144777,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11630789,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11648608,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12130873,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12152627,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12631066,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12656585,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13131276,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13160499,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13631284,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13664560,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
