Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
375708,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
447080,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
875811,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
951133,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1199877,00000151,false,Rx,0,8,03,29,05,00,00,00,00,00,
1200534,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
1375915,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1455082,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1876117,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1958911,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2376237,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2462930,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2876367,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2966808,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3376614,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3470717,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3876731,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3974739,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4376874,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4478620,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4876940,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4982724,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5377129,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5486730,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5877356,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5990662,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6377311,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6494550,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6877467,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6998426,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7377571,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7502488,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7877866,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8006463,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8378038,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8510465,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8878204,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9014362,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9378299,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9518181,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9878329,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10022242,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10378452,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10526201,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10878752,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11030191,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11378708,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11534050,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11878989,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12038241,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12379124,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12541990,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12879089,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13046051,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13379234,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13549980,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13879532,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14053890,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14379707,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14557845,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14879699,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15061881,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15379862,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15565702,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15880062,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
