Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
32027405,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
32039631,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
32040422,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
32055751,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
32086615,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
32088536,000001C1,false,Rx,0,8,70,A3,A3,A3,A3,A3,A3,A3,
32088550,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
32117766,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
32148548,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
32148841,00000151,false,Rx,0,8,70,00,00,00,00,00,00,00,
32149126,000001F1,false,Rx,0,8,70,00,00,00,00,00,00,00,
32149584,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
32150033,000005F1,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
32245748,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
32543605,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
32549831,00000151,false,Rx,0,8,03,52,09,00,00,00,00,00,
32552675,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
32555676,000001C1,false,Rx,0,8,02,64,0F,A3,A3,A3,A3,A3,
32556168,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
32647270,00000151,false,Rx,0,8,02,54,01,00,00,00,00,00,
32647931,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
32650020,00000151,false,Rx,0,8,02,54,03,00,00,00,00,00,
32653592,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
32653612,000001C1,false,Rx,0,8,05,63,32,31,31,35,A3,A3,
32653618,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
32656793,00000151,false,Rx,0,8,10,0E,77,55,55,DF,71,01,
32657533,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32663960,000001F1,false,Rx,0,8,11,2E,21,0B,00,25,41,42,
32664676,00000151,false,Rx,0,8,21,4C,20,20,31,35,33,20,
32664686,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32665125,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32665613,00000151,false,Rx,0,8,22,20,00,00,00,00,00,00,
32665904,000001F1,false,Rx,0,8,21,43,44,45,46,00,01,30,
32666366,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
32666999,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32667656,000001F1,false,Rx,0,8,22,30,00,00,00,00,00,00,
32668297,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32669442,000001F1,false,Rx,0,8,23,00,00,00,00,00,00,00,
32670655,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32674144,000001F1,false,Rx,0,8,24,00,00,00,00,00,00,38,
32674164,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32674171,000001F1,false,Rx,0,8,25,00,00,00,00,00,66,00,
32682351,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32683549,000001F1,false,Rx,0,8,26,00,00,00,00,43,00,00,
32684370,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32685564,000001F1,false,Rx,0,8,27,00,00,00,41,80,00,00,
32689607,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32690635,000001F1,false,Rx,0,8,28,00,00,40,C0,00,00,00,
32693789,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32693807,000001F1,false,Rx,0,8,29,00,60,60,00,00,00,00,
32694326,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32694595,000001F1,false,Rx,0,8,2A,60,2F,C0,00,00,00,20,
32695637,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32696490,000001F1,false,Rx,0,8,2B,E6,38,00,00,00,23,57,
32698620,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32699625,000001F1,false,Rx,0,8,2C,06,00,00,00,36,53,C1,
32700266,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32701632,000001F1,false,Rx,0,8,2D,00,00,00,18,19,E0,80,
32704069,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32704535,000001F1,false,Rx,0,8,2E,00,00,10,3C,E7,DF,E0,
32705355,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32706528,000001F1,false,Rx,0,8,2F,00,20,3E,FC,30,38,00,
32708814,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32709623,000001F1,false,Rx,0,8,20,20,3E,40,E0,08,00,43,
32710266,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
32710733,000001F1,false,Rx,0,8,21,FE,1F,10,08,00,43,F0,
32714290,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
