Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5103494,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
5121552,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5122373,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
5129487,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
5160438,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
5161998,000001C1,false,Rx,0,8,70,A3,A3,A3,A3,A3,A3,A3,
5162461,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
5191429,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
5222340,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
5222684,00000151,false,Rx,0,8,70,00,00,00,00,00,00,00,
5222694,000001F1,false,Rx,0,8,70,00,00,00,00,00,00,00,
5223149,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5223814,000005F1,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5438443,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5623505,00000151,false,Rx,0,8,03,52,09,00,00,00,00,00,
5624188,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5625346,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5625842,000001C1,false,Rx,0,8,02,64,0F,A3,A3,A3,A3,A3,
5626304,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
5637991,00000151,false,Rx,0,8,02,54,01,00,00,00,00,00,
5638822,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5640814,00000151,false,Rx,0,8,02,54,03,00,00,00,00,00,
5641604,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5642295,000001C1,false,Rx,0,8,05,63,32,31,31,37,A3,A3,
5642579,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
5650833,00000151,false,Rx,0,8,10,0E,77,55,55,DF,71,01,
5650847,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5655614,000001F1,false,Rx,0,8,11,2E,21,0B,00,25,41,42,
5656258,00000151,false,Rx,0,8,21,4C,20,20,31,35,33,20,
5656551,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5657003,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5657252,00000151,false,Rx,0,8,22,20,00,00,00,00,00,00,
5657557,000001F1,false,Rx,0,8,21,43,44,45,46,00,01,30,
5657984,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5658833,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5659296,000001F1,false,Rx,0,8,22,30,00,00,00,00,00,00,
5660122,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
