Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11280535,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
167526,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
271424,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
276527,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
375658,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
481917,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
583529,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
687416,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
775390,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
791557,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
895439,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1001264,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1103438,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1207357,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1279471,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
1311435,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1415448,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1519908,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1623314,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1727335,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1783312,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
1831303,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1935347,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
2039476,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
2143575,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
2247444,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
2287374,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
2351300,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
2455584,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
2560204,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
2663321,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
2767421,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
2791286,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
2871319,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
2975302,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
3079484,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
3183319,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
3287327,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
3295196,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
3391395,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
3495203,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
3599212,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
3703212,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
3799241,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
3807268,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
3911257,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
4015216,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
4119257,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
4223163,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
4303204,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
4327212,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
4431253,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
4535165,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
4639141,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
4743056,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
4807122,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
4847212,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
4951169,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
5055060,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
5159177,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
5263034,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
5311096,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
5367084,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
5471552,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
5575104,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
5679063,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
5783093,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
5815104,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
5887069,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
5990950,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
6095030,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
6198926,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
