Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
116854,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
216342,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
320544,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
328391,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
424412,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
528334,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
633778,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
736323,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
832268,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
841240,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
944320,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1048236,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1152430,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1256281,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1336257,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
1360167,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1464238,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1568184,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1672302,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1776123,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1840171,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
1880168,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
1984233,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
2088173,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
