Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
255836,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
415560,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
759679,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
915849,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1263671,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1415981,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1767634,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1916074,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2271704,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2416037,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2775656,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2916282,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3279651,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3416399,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3783704,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3916636,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4287341,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4416608,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4791340,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5295318,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5799401,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6303424,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6807200,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7311256,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7815181,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8318986,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8823127,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9326990,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9376343,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
9479121,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
9583043,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
9686865,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
9790862,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
9830956,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
9894921,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
10000106,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
10103082,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
10206893,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
10310832,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
10334809,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
10414810,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
10519818,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
10622806,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
10726837,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
10831050,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
10838802,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
10934881,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
11038983,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
11142981,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
11246885,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
11342899,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
11352022,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
11454849,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
11558862,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
11662808,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
11766755,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
11846808,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
11870818,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
11974807,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
12078833,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
12182746,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
12286799,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
12350782,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
12390736,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
12497142,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
12598792,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
12702704,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
12806652,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
12854704,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
12910680,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
13014761,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
13118755,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
13222608,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
13326739,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
13358695,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
13430661,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
13534734,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
13638616,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
13742727,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
13846623,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
13863482,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
13950750,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
14054647,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
14158444,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
14265278,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
14366586,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
14370451,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
14470688,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
