Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1367248,00000151,false,Rx,0,8,10,5A,21,01,7E,80,00,00,
1367898,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1369087,00000151,false,Rx,0,8,21,82,FF,0B,44,65,73,74,
1369710,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1370201,00000151,false,Rx,0,8,22,2E,20,6D,65,6D,6F,72,
1371229,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1372013,00000151,false,Rx,0,8,23,79,00,00,00,00,00,00,
1372850,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1373097,00000151,false,Rx,0,8,24,00,00,00,00,00,00,00,
1374115,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1375148,00000151,false,Rx,0,8,25,00,01,7E,46,46,46,46,
1375792,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1376264,00000151,false,Rx,0,8,26,00,00,00,00,00,00,00,
1376900,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1378094,00000151,false,Rx,0,8,27,00,00,00,00,00,00,00,
1379096,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1380147,00000151,false,Rx,0,8,28,00,00,00,00,00,00,00,
1380792,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1381259,00000151,false,Rx,0,8,29,00,7F,47,52,4F,53,53,
1382268,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1383096,00000151,false,Rx,0,8,2A,2D,5A,49,4D,4D,45,52,
1383711,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1384190,00000151,false,Rx,0,8,2B,4E,00,00,00,00,00,00,
1384834,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1385309,00000151,false,Rx,0,8,2C,00,00,00,00,00,00,00,
1385954,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
12787575,00000151,false,Rx,0,8,07,29,01,7F,80,00,00,00,
12788022,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
15655685,00000151,false,Rx,0,8,10,5A,21,01,7F,80,00,00,
15656342,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15657165,00000151,false,Rx,0,8,21,82,FF,07,44,65,73,74,
15657977,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15659165,00000151,false,Rx,0,8,22,2E,20,6D,65,6D,6F,72,
15662581,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15662601,00000151,false,Rx,0,8,23,79,00,00,00,00,00,00,
15662608,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15663237,00000151,false,Rx,0,8,24,00,00,00,00,00,00,00,
15663718,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15664180,00000151,false,Rx,0,8,25,00,00,7E,47,52,4F,53,
15665065,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
15666084,00000151,false,Rx,0,8,26,53,2D,5A,49,4D,4D,45,
15666906,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
