Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9792046,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
9831581,000003CF,false,Rx,0,8,69,01,A3,A3,A3,A3,A3,A3,
9832599,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
9850470,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9863696,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
9894513,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
9895914,000001C1,false,Rx,0,8,70,A3,A3,A3,A3,A3,A3,A3,
9896202,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
9925693,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
9956580,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
9956864,00000151,false,Rx,0,8,70,00,00,00,00,00,00,00,
9957143,000001F1,false,Rx,0,8,70,00,00,00,00,00,00,00,
9957595,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
9958045,000005F1,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
10335671,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10350686,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10358559,00000151,false,Rx,0,8,03,52,00,00,00,00,00,00,
10358580,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
10363799,000001C1,false,Rx,0,8,02,64,0F,A3,A3,A3,A3,A3,
10364048,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
10464382,00000151,false,Rx,0,8,02,54,01,00,00,00,00,00,
10465030,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
10466929,00000151,false,Rx,0,8,02,54,03,00,00,00,00,00,
10467940,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
10468407,000001C1,false,Rx,0,8,05,63,30,30,34,33,A3,A3,
10468874,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
10839460,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10850778,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11343679,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11350985,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11847399,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11851067,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12351397,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12351420,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12851396,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12855262,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13351577,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13359269,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13851587,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13863482,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14351908,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14367295,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14852016,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14871497,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15351958,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15375552,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15852078,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15880224,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16352417,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16383129,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16852467,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16886976,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
17352637,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17390850,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
17852665,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17894885,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
18352852,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
18398845,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
18852987,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
18902883,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
19353121,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
19406716,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
19853231,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
19910723,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
20353322,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
20414798,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
20853584,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
20918700,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
21353593,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
21422680,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
21853871,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
21926486,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
22353906,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
22430586,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
22854002,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
22934472,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
23354200,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
23438484,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
23854239,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
23942492,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
24354486,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
24446257,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
24854655,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
24950211,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
25354836,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
25454351,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
25854805,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
25958295,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
26355145,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
26462259,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
26855063,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
26966155,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
27355433,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
27470079,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
27855506,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
27973952,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
28355569,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
28478065,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
28855801,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
28981847,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
29355910,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
29485833,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
