Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2470367,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2533358,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2970444,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3037388,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3470653,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3541289,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3970760,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4045283,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4470922,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4549120,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4970897,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5053065,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5471172,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5508335,00000151,false,Rx,0,8,10,0E,77,05,55,FF,31,01,
5509494,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5510881,00000151,false,Rx,0,8,21,20,20,20,31,30,35,36,
5514780,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5514801,00000151,false,Rx,0,8,22,20,00,00,00,00,00,00,
5514808,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5566558,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5971211,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6068974,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6471334,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6572889,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6971524,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7076815,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7471726,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7580953,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7971900,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8084814,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8218916,00000151,false,Rx,0,8,10,0E,77,15,55,FF,60,01,
8219561,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8220558,00000151,false,Rx,0,8,21,4D,20,20,35,33,31,20,
8221193,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8221847,00000151,false,Rx,0,8,22,20,00,00,00,00,00,00,
8222500,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
8472057,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8588783,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8972171,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9092839,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9472131,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9597406,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9849456,00000151,false,Rx,0,8,10,0E,77,15,55,FF,71,01,
9850137,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
9852941,00000151,false,Rx,0,8,21,4C,20,20,31,35,33,20,
9852962,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
9852968,00000151,false,Rx,0,8,22,20,00,00,00,00,00,00,
9852975,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
9972390,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10100744,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10472568,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10604625,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10972653,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11108578,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11425049,00000151,false,Rx,0,8,10,0E,77,55,55,FF,60,01,
11425891,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
11426545,00000151,false,Rx,0,8,21,41,55,58,20,20,20,20,
11427192,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
11427659,00000151,false,Rx,0,8,22,20,00,00,00,00,00,00,
11428667,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
11472853,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11612516,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11973024,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12116494,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12473025,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12620466,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12973276,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13124484,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13473353,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13628579,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13973448,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14132340,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14473623,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14636253,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14973809,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15140279,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15473944,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15644218,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15974066,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16148248,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16474228,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16651995,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
