Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
7907375,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
7937383,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
7968618,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
7971283,000001C1,false,Rx,0,8,70,A3,A3,A3,A3,A3,A3,A3,
7971564,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
7999802,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
8030838,000003AF,false,Rx,0,8,B0,14,11,00,1F,00,00,00,
8030911,00000151,false,Rx,0,8,70,00,00,00,00,00,00,00,
8031203,000001F1,false,Rx,0,8,70,00,00,00,00,00,00,00,
8031659,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
8032142,000005F1,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
8116782,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8289261,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8432064,00000151,false,Rx,0,8,03,52,00,00,00,00,00,00,
8432512,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
8439910,000001C1,false,Rx,0,8,02,64,0F,A3,A3,A3,A3,A3,
8439935,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
8509552,00000151,false,Rx,0,8,02,54,01,00,00,00,00,00,
8510189,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
8512093,00000151,false,Rx,0,8,02,54,03,00,00,00,00,00,
8512760,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
8513780,000001C1,false,Rx,0,8,05,63,30,32,35,35,A3,A3,
8514061,000005C1,false,Rx,0,8,74,00,00,00,00,00,00,00,
8617043,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8793426,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9117230,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9297349,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9617268,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9801169,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10117264,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10305175,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10617468,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10809167,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11117692,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11313124,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11617847,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11817143,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12117947,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12321128,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12617996,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12825060,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13118238,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13329004,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13618360,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
