Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
181770,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
402625,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
685755,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
902838,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1189639,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1402979,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1693620,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1903153,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2197627,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2403154,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2701557,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2903303,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3205554,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3403354,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3710060,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3903632,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4213360,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4403746,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4717265,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4903960,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5221363,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5403962,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5725344,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5904215,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6229253,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6404306,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6733231,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6904366,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15288108,000003AF,false,Rx,0,8,BA,00,00,00,00,00,00,00,
15292377,000003CF,false,Rx,0,8,61,11,00,A3,A3,A3,A3,A3,
15300598,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
