Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
348241,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
464267,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
852137,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
964405,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1356104,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1464521,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1618099,00000151,false,Rx,0,8,10,C6,21,01,01,3D,14,00,
1618770,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1622010,00000151,false,Rx,0,8,21,86,FF,03,4E,61,76,69,
1622030,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1622037,00000151,false,Rx,0,8,22,67,61,74,69,6F,6E,00,
1622043,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1622373,00000151,false,Rx,0,8,23,00,00,00,00,00,00,00,
1623118,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1624342,00000151,false,Rx,0,8,24,00,00,00,00,00,00,00,
1624984,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1625459,00000151,false,Rx,0,8,25,00,01,00,44,65,73,74,
1626103,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1627276,00000151,false,Rx,0,8,26,69,6E,61,74,69,6F,6E,
1628302,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1629274,00000151,false,Rx,0,8,27,00,00,00,00,00,00,00,
1630130,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1631315,00000151,false,Rx,0,8,28,00,00,00,00,00,00,00,
1632322,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1633328,00000151,false,Rx,0,8,29,00,01,44,65,73,74,2E,
1633974,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1634448,00000151,false,Rx,0,8,2A,20,6D,65,6D,6F,72,79,
1635096,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1636251,00000151,false,Rx,0,8,2B,00,00,00,00,00,00,00,
1637264,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1638253,00000151,false,Rx,0,8,2C,00,00,00,00,00,00,00,
1639102,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1641718,00000151,false,Rx,0,8,2D,02,4C,61,73,74,20,64,
1641739,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1642354,00000151,false,Rx,0,8,2E,65,73,74,69,6E,61,74,
1643001,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1643489,00000151,false,Rx,0,8,2F,69,6F,6E,73,00,00,00,
1644445,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1645434,00000151,false,Rx,0,8,20,00,00,00,00,00,00,03,
1646249,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1647225,00000151,false,Rx,0,8,21,50,2E,4F,2E,49,2E,00,
1648243,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1649313,00000151,false,Rx,0,8,22,00,00,00,00,00,00,00,
1649957,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1650427,00000151,false,Rx,0,8,23,00,00,00,00,00,00,00,
1651035,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1652417,00000151,false,Rx,0,8,24,00,00,00,00,00,04,52,
1653044,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1653501,00000151,false,Rx,0,8,25,6F,75,74,65,20,73,65,
1654150,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1655337,00000151,false,Rx,0,8,26,74,74,69,6E,67,73,00,
1656347,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1657350,00000151,false,Rx,0,8,27,00,00,00,00,00,00,00,
1657992,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1658471,00000151,false,Rx,0,8,28,00,00,00,00,05,42,61,
1659118,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1662278,00000151,false,Rx,0,8,29,63,6B,00,00,00,00,00,
1662298,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1662305,00000151,false,Rx,0,8,2A,00,00,00,00,00,00,00,
1663137,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1664322,00000151,false,Rx,0,8,2B,00,00,00,00,00,00,00,
1665328,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
1666339,00000151,false,Rx,0,8,2C,00,00,00,00,00,00,00,
1666951,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
1876043,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1964709,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2379992,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2464677,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2883798,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2964973,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3387792,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3465142,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3891808,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3965121,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4395655,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4465419,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4899733,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4965447,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5403778,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5465698,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5907706,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5965794,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6411650,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6465996,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6915644,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6966038,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7419456,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7466180,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7923397,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7966295,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8427368,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8466460,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8931470,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8966560,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9435198,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9466827,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9939220,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9966904,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10443306,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10467108,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10947406,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10967182,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11451092,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11467228,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11955215,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11967425,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12458972,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12467603,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12963219,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12967670,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13467012,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13467843,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13968040,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13971049,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14468198,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
