Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
169103,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
373945,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
640442,00000151,false,Rx,0,8,04,25,00,00,00,00,00,00,
641335,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
674388,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
873884,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1177023,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1374133,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1460197,00000151,false,Rx,0,8,04,25,00,03,00,00,00,00,
1461002,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
1680929,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1874158,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2184870,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2281338,00000151,false,Rx,0,8,04,25,00,00,00,00,00,00,
2281995,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
2374371,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2688850,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2874435,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3120137,00000151,false,Rx,0,8,04,25,00,03,00,00,00,00,
3123076,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
3192628,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3374693,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3696608,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3874812,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3940365,00000151,false,Rx,0,8,04,25,00,00,00,00,00,00,
3940986,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
4200670,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4374840,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4704562,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4760671,00000151,false,Rx,0,8,04,25,00,03,00,00,00,00,
4761337,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
4875169,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5208643,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5375269,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5587184,00000151,false,Rx,0,8,04,25,00,00,00,00,00,00,
5587863,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5712646,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5875372,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6216520,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6375464,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6410506,00000151,false,Rx,0,8,04,25,00,03,00,00,00,00,
6411162,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
6720499,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6875532,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7224439,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7229770,00000151,false,Rx,0,8,04,25,00,00,00,00,00,00,
7230420,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
7375742,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7736268,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7875832,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8049578,00000151,false,Rx,0,8,04,25,00,03,00,00,00,00,
8050235,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
8240395,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8376037,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8744362,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8868734,00000151,false,Rx,0,8,04,25,00,00,00,00,00,00,
8869572,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
8876174,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9250157,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9376369,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9680971,00000151,false,Rx,0,8,04,25,00,03,00,00,00,00,
9681669,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
9752453,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9876439,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10256119,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10376684,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10489741,00000151,false,Rx,0,8,04,25,00,00,00,00,00,00,
10490581,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
10760102,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10876661,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11264107,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11320138,00000151,false,Rx,0,8,04,25,00,03,00,00,00,00,
11320786,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
11376921,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11768085,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11877092,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12160384,00000151,false,Rx,0,8,04,25,00,00,00,00,00,00,
12161220,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
12272216,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12377188,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12776044,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12877301,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12979868,00000151,false,Rx,0,8,04,25,00,03,00,00,00,00,
12980631,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
13279808,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13377518,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13783859,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13799475,00000151,false,Rx,0,8,04,25,00,00,00,00,00,00,
13800324,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
13877659,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14287938,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14377759,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14610499,00000151,false,Rx,0,8,04,25,00,03,00,00,00,00,
14611149,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
14791827,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14877863,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15295621,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15378032,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15420018,00000151,false,Rx,0,8,04,25,00,00,00,00,00,00,
15420666,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
15799593,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15878128,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16249705,00000151,false,Rx,0,8,04,25,00,03,00,00,00,00,
