Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2373717,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
490611,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
635895,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
994763,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1136027,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1498648,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1635990,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2002600,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2136245,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2506633,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2636389,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3010568,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3136563,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3514328,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3636721,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4018402,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4136891,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4522374,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4637011,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5026260,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5136972,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5530287,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5637183,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6034272,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6137541,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6538246,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6638041,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7042237,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7137577,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7547478,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7637785,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8051861,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8137922,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8554087,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8637988,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9057972,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9138226,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9561938,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9638349,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10065964,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10138528,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10569802,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10638692,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11073776,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11138812,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11577942,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11639003,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12081844,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12138976,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12585698,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12639142,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13089543,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13139206,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13593524,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13639497,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14097458,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14139567,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14601481,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14639833,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15105535,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15139912,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15609472,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15640076,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16114741,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16140215,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
16617398,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
16640324,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17121364,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
17140468,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
17625287,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
17640595,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
18129165,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
18140773,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
18633185,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
18640962,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
18758373,00000151,false,Rx,0,8,10,69,21,05,FF,01,00,49,
18759030,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18759671,00000151,false,Rx,0,8,21,00,00,00,00,00,00,00,
18760284,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18761705,00000151,false,Rx,0,8,22,00,00,00,00,00,00,00,
18762335,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18763714,00000151,false,Rx,0,8,23,00,00,00,00,00,00,00,
18764544,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18765714,00000151,false,Rx,0,8,24,00,00,00,00,00,20,20,
18766362,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18766610,00000151,false,Rx,0,8,25,54,68,65,20,72,6F,75,
18767454,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18768637,00000151,false,Rx,0,8,26,74,65,20,69,73,0D,62,
18769453,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18770639,00000151,false,Rx,0,8,27,65,69,6E,67,20,63,61,
18771293,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18771755,00000151,false,Rx,0,8,28,6C,63,75,6C,61,74,65,
18772373,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18773564,00000151,false,Rx,0,8,29,64,0D,20,20,20,20,20,
18774418,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18774666,00000151,false,Rx,0,8,2A,20,20,20,0D,00,00,00,
18775504,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18776688,00000151,false,Rx,0,8,2B,00,00,00,00,00,00,00,
18779547,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18779567,00000151,false,Rx,0,8,2C,00,00,00,00,00,00,00,
18779573,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18780638,00000151,false,Rx,0,8,2D,00,00,00,00,00,00,00,
18781466,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18782649,00000151,false,Rx,0,8,2E,00,00,00,00,00,00,00,
18783300,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
18783762,00000151,false,Rx,0,8,2F,00,00,00,00,00,00,00,
18784416,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
19140988,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
19145159,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
19174274,00000151,false,Rx,0,8,10,12,B3,52,00,00,00,00,
19174931,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19175718,00000151,false,Rx,0,8,21,00,00,00,00,00,00,00,
19176356,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19177741,00000151,false,Rx,0,8,22,00,00,00,00,00,00,00,
19178552,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
19274192,000001F1,false,Rx,0,8,11,2E,21,0B,00,00,00,00,
19274844,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19275850,000001F1,false,Rx,0,8,21,00,00,00,00,00,12,30,
19276500,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19277864,000001F1,false,Rx,0,8,22,30,00,00,00,00,00,00,
19278515,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19278986,000001F1,false,Rx,0,8,23,00,00,00,00,00,00,00,
19279631,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19283039,000001F1,false,Rx,0,8,24,00,00,00,00,00,00,00,
19283060,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19283066,000001F1,false,Rx,0,8,25,00,00,00,00,00,00,00,
19283072,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19283846,000001F1,false,Rx,0,8,26,00,00,00,00,00,00,00,
19284506,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19284977,000001F1,false,Rx,0,8,27,00,00,00,00,00,00,00,
19285440,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19286950,000001F1,false,Rx,0,8,28,00,00,00,00,00,00,00,
19287583,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19288731,000001F1,false,Rx,0,8,29,00,00,00,00,00,00,00,
19289573,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19290933,000001F1,false,Rx,0,8,2A,00,00,00,00,00,00,00,
19291566,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19292926,000001F1,false,Rx,0,8,2B,00,00,00,00,00,00,00,
19293568,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19294926,000001F1,false,Rx,0,8,2C,00,00,00,00,00,00,00,
19295568,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19296926,000001F1,false,Rx,0,8,2D,00,00,00,00,00,00,00,
19297568,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19298926,000001F1,false,Rx,0,8,2E,00,00,00,00,00,00,00,
19299566,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19299814,000001F1,false,Rx,0,8,2F,00,00,00,00,00,00,00,
19302819,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19302845,000001F1,false,Rx,0,8,20,00,00,00,00,00,00,00,
19302851,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19302857,000001F1,false,Rx,0,8,21,00,00,00,00,00,00,00,
19303642,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19304827,000001F1,false,Rx,0,8,22,00,00,00,00,00,00,00,
19305481,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19307001,000001F1,false,Rx,0,8,23,00,00,00,00,00,00,00,
19307550,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19307886,000001F1,false,Rx,0,8,24,00,00,00,00,00,00,00,
19308880,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19309898,000001F1,false,Rx,0,8,25,00,00,00,00,00,00,00,
19310543,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19311012,000001F1,false,Rx,0,8,26,00,00,00,00,00,00,00,
19311641,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19312827,000001F1,false,Rx,0,8,27,00,00,00,00,00,00,00,
19317819,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19318848,000001F1,false,Rx,0,8,28,00,00,00,00,00,00,00,
19323214,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19323235,000001F1,false,Rx,0,8,29,00,00,00,00,00,00,00,
19323241,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19323247,000001F1,false,Rx,0,8,2A,00,00,00,00,00,00,00,
19323555,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19324700,000001F1,false,Rx,0,8,2B,00,00,00,00,00,00,00,
19326995,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19327816,000001F1,false,Rx,0,8,2C,00,00,00,00,00,00,00,
19328551,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19328808,000001F1,false,Rx,0,8,2D,00,00,00,00,00,00,00,
19329648,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19330836,000001F1,false,Rx,0,8,2E,00,00,00,00,00,00,00,
19332170,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19332835,000001F1,false,Rx,0,8,2F,00,00,00,00,00,00,00,
19333487,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19333955,000001F1,false,Rx,0,8,20,00,00,00,00,00,00,00,
19334602,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19335766,000001F1,false,Rx,0,8,21,00,00,00,00,00,00,00,
19338242,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19338883,000001F1,false,Rx,0,8,22,00,00,00,00,00,00,00,
19339536,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19340006,000001F1,false,Rx,0,8,23,00,00,00,00,00,00,00,
19342852,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19342872,000001F1,false,Rx,0,8,24,00,00,00,00,00,00,00,
19343446,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19344040,000001F1,false,Rx,0,8,25,00,00,00,00,00,00,00,
19344555,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19345915,000001F1,false,Rx,0,8,26,00,00,00,00,00,00,00,
19346597,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19346959,000001F1,false,Rx,0,8,27,00,00,00,00,00,00,00,
19349244,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19349895,000001F1,false,Rx,0,8,28,00,00,00,00,00,00,00,
19350727,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19351948,000001F1,false,Rx,0,8,29,00,00,00,00,00,00,00,
19354549,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19355933,000001F1,false,Rx,0,8,2A,00,00,00,00,00,00,00,
19356578,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19357728,000001F1,false,Rx,0,8,2B,00,00,00,00,00,00,00,
19358570,000005F1,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
19641052,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
19649085,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
19751652,000001F1,false,Rx,0,8,11,2E,21,0B,00,00,00,00,
19752298,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19752947,000001F1,false,Rx,0,8,21,00,00,00,00,00,12,30,
19753590,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19754057,000001F1,false,Rx,0,8,22,30,00,00,00,00,00,00,
19754701,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19756124,000001F1,false,Rx,0,8,23,00,00,00,00,00,00,00,
19756675,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19757837,000001F1,false,Rx,0,8,24,00,00,00,00,00,00,00,
19758675,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19759131,000001F1,false,Rx,0,8,25,00,00,00,00,00,00,00,
19759763,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19760955,000001F1,false,Rx,0,8,26,00,00,00,00,00,00,00,
19761601,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19762070,000001F1,false,Rx,0,8,27,00,00,00,00,00,00,00,
19765273,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19765291,000001F1,false,Rx,0,8,28,00,00,00,00,00,0C,00,
19765297,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19765303,000001F1,false,Rx,0,8,29,00,00,00,00,1C,00,00,
19765713,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19767072,000001F1,false,Rx,0,8,2A,00,00,00,78,00,00,00,
19767723,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19768913,000001F1,false,Rx,0,8,2B,00,01,E8,00,00,00,00,
19769520,000005F1,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
19770891,000001F1,false,Rx,0,8,2C,07,D0,00,00,00,00,1F,
