Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
20054571,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
20386818,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
20558540,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
20886982,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
21062543,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
21387140,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
21566359,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
21887233,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
22070405,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
22387386,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
22574465,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
22887539,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
23078410,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
23388584,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
23582351,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
23851944,00000151,false,Rx,0,8,05,56,31,35,35,39,00,00,
23852597,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
23890844,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
23978938,00000151,false,Rx,0,8,10,69,21,05,FF,00,00,49,
23979375,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23980765,00000151,false,Rx,0,8,21,00,00,00,00,00,00,00,
23981597,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23982774,00000151,false,Rx,0,8,22,00,00,00,00,00,00,00,
23983423,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23983886,00000151,false,Rx,0,8,23,00,00,00,00,00,00,00,
23984537,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23985724,00000151,false,Rx,0,8,24,00,00,00,00,00,20,20,
23986555,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23987736,00000151,false,Rx,0,8,25,4E,65,77,20,74,69,6D,
23991073,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23991093,00000151,false,Rx,0,8,26,65,20,73,65,74,74,69,
23991100,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23991107,00000151,false,Rx,0,8,27,6E,67,73,0D,20,20,61,
23991467,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23991817,00000151,false,Rx,0,8,28,72,65,20,6E,6F,77,20,
23992671,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23993677,00000151,false,Rx,0,8,29,65,66,66,65,63,74,69,
23994510,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23995694,00000151,false,Rx,0,8,2A,76,65,0D,20,20,20,20,
23996341,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23996803,00000151,false,Rx,0,8,2B,20,20,20,20,20,20,20,
23997634,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23998625,00000151,false,Rx,0,8,2C,0D,00,00,00,00,00,00,
23999261,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
23999917,00000151,false,Rx,0,8,2D,00,00,00,00,00,00,00,
24000546,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
24001726,00000151,false,Rx,0,8,2E,00,00,00,00,00,00,00,
24002561,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
24003742,00000151,false,Rx,0,8,2F,00,00,00,00,00,00,00,
24004391,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
24102372,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
24388057,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
24606297,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
24888208,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
25110235,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
25388296,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
25614209,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
25888362,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
26118019,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
26388571,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
26622357,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
26888814,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
27125928,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
27388945,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
27630029,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
27888986,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
27907716,00000151,false,Rx,0,8,10,90,21,01,00,47,01,00,
27908231,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27908821,00000151,false,Rx,0,8,21,84,FF,03,53,65,74,74,
27909605,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27909903,00000151,false,Rx,0,8,22,69,6E,67,73,00,00,00,
27910557,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27911706,00000151,false,Rx,0,8,23,00,00,00,00,00,00,00,
27912343,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27912792,00000151,false,Rx,0,8,24,00,00,00,00,00,00,00,
27913632,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27914818,00000151,false,Rx,0,8,25,00,01,00,54,69,6D,65,
27915471,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27915942,00000151,false,Rx,0,8,26,00,00,00,00,00,00,00,
27916588,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27917776,00000151,false,Rx,0,8,27,00,00,00,00,00,00,00,
27918432,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27918895,00000151,false,Rx,0,8,28,00,00,00,00,00,00,00,
27919545,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27920692,00000151,false,Rx,0,8,29,00,01,56,6F,69,63,65,
27921544,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27921792,00000151,false,Rx,0,8,2A,00,00,00,00,00,00,00,
27922735,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27923794,00000151,false,Rx,0,8,2B,00,00,00,00,00,00,00,
27924448,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27927823,00000151,false,Rx,0,8,2C,00,00,00,00,00,00,00,
27927840,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27927846,00000151,false,Rx,0,8,2D,02,4D,65,61,73,75,72,
27927853,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27927859,00000151,false,Rx,0,8,2E,69,6E,67,20,75,6E,69,
27928693,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
27929863,00000151,false,Rx,0,8,2F,74,00,00,00,00,00,00,
27930502,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
