Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
352352,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
493070,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
852403,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
996996,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1352606,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1501027,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1852807,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2005034,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2352952,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2508859,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2853058,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3012723,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3353149,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3516653,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3853118,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4020820,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4353338,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4524769,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4853516,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4909160,00000151,false,Rx,0,8,05,56,32,30,32,30,00,00,
4909995,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5028554,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5038590,00000151,false,Rx,0,8,10,69,21,05,FF,00,00,49,
5039241,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5040234,00000151,false,Rx,0,8,21,00,00,00,00,00,00,00,
5040993,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5041456,00000151,false,Rx,0,8,22,00,00,00,00,00,00,00,
5042104,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5043281,00000151,false,Rx,0,8,23,00,00,00,00,00,00,00,
5044119,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5044442,00000151,false,Rx,0,8,24,00,00,00,00,00,20,20,
5047666,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5047684,00000151,false,Rx,0,8,25,4E,65,77,20,74,69,6D,
5047690,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5047697,00000151,false,Rx,0,8,26,65,20,73,65,74,74,69,
5048218,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5049405,00000151,false,Rx,0,8,27,6E,67,73,0D,20,20,61,
5050052,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5050503,00000151,false,Rx,0,8,28,72,65,20,6E,6F,77,20,
5051205,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5052400,00000151,false,Rx,0,8,29,65,66,66,65,63,74,69,
5052869,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5053430,00000151,false,Rx,0,8,2A,76,65,0D,20,20,20,20,
5054072,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5055434,00000151,false,Rx,0,8,2B,20,20,20,20,20,20,20,
5056081,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5056348,00000151,false,Rx,0,8,2C,0D,00,00,00,00,00,00,
5056973,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5058359,00000151,false,Rx,0,8,2D,00,00,00,00,00,00,00,
5058999,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5059464,00000151,false,Rx,0,8,2E,00,00,00,00,00,00,00,
5060122,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
5061313,00000151,false,Rx,0,8,2F,00,00,00,00,00,00,00,
5062051,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
5353622,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5548794,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5853849,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6052653,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6353980,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6556444,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6854148,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7060555,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7354282,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7564329,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7854389,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8068432,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8354569,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8572429,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8854579,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8955269,00000151,false,Rx,0,8,10,90,21,01,00,47,01,00,
8955926,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8956390,00000151,false,Rx,0,8,21,84,FF,03,53,65,74,74,
8957012,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8957495,00000151,false,Rx,0,8,22,69,6E,67,73,00,00,00,
8958107,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8959507,00000151,false,Rx,0,8,23,00,00,00,00,00,00,00,
8960502,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8961496,00000151,false,Rx,0,8,24,00,00,00,00,00,00,00,
8962145,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8962405,00000151,false,Rx,0,8,25,00,01,00,54,69,6D,65,
8963243,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8966441,00000151,false,Rx,0,8,26,00,00,00,00,00,00,00,
8966461,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8966468,00000151,false,Rx,0,8,27,00,00,00,00,00,00,00,
8966474,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8967378,00000151,false,Rx,0,8,28,00,00,00,00,00,00,00,
8968477,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8969380,00000151,false,Rx,0,8,29,00,01,56,6F,69,63,65,
8969992,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8970488,00000151,false,Rx,0,8,2A,00,00,00,00,00,00,00,
8971137,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8972501,00000151,false,Rx,0,8,2B,00,00,00,00,00,00,00,
8973148,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8973600,00000151,false,Rx,0,8,2C,00,00,00,00,00,00,00,
8974251,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8975438,00000151,false,Rx,0,8,2D,02,4D,65,61,73,75,72,
8976442,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8977448,00000151,false,Rx,0,8,2E,69,6E,67,20,75,6E,69,
8978090,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8978560,00000151,false,Rx,0,8,2F,74,00,00,00,00,00,00,
8979183,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8980360,00000151,false,Rx,0,8,20,00,00,00,00,00,00,03,
8981195,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8981484,00000151,false,Rx,0,8,21,42,61,63,6B,00,00,00,
8982134,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8983506,00000151,false,Rx,0,8,22,00,00,00,00,00,00,00,
8986248,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8986262,00000151,false,Rx,0,8,23,00,00,00,00,00,00,00,
8986269,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
8986631,00000151,false,Rx,0,8,24,00,00,00,00,00,00,00,
8987116,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
9084277,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9354820,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9588240,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9854943,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10092276,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10355018,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10596049,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10855261,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11100178,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11355387,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11603965,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11855384,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12108101,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12355563,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
12612045,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
12855778,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13115883,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13355870,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
13619962,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
13856092,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14123776,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14356186,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
14627813,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
14856395,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
15131978,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
15356469,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
